"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-18","89","102","77"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-19","87","99","75"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-20","87","100","75"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-21","88","99","75"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-22","88","99","78"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-23","88","101","77"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-24","89","105","75"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-25","88","96","73"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-26","82","95","70"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-27","83","93","68"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-28","77","93","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-29","83","97","70"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-30","84","94","70"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-31","79","93","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-01","83","100","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-02","86","102","69"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-03","88","101","77"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-04","85","99","75"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-05","87","102","71"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-06","90","104","76"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-07","89","100","74"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-08","84","98","70"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-09","86","97","74"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-10","83","95","75"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-11","83","96","73"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-12","78","88","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-13","74","89","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-14","72","89","62"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-15","80","94","69"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-16","81","95","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-17","79","89","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-18","77","92","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-19","76","92","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-20","85","99","73"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-21","86","92","71"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-22","80","91","68"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-23","81","91","72"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-24","82","91","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-25","70","81","60"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-26","67","81","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-27","71","89","58"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-28","77","88","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-29","71","81","56"
